Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
A1,RP2040-Zero,RP2040-Zero,129.0,-42.0,0.0,top
D1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,58.34,-74.69,180.0,top
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,87.62,-74.84,180.0,top
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,114.13,-86.17,180.0,top
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,149.17,-74.77,180.0,top
D5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,175.56,-63.24,180.0,top
D6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,204.44,-63.12,180.0,top
D7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,233.51,-63.33,180.0,top
D8,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,228.19,-94.73,180.0,top
D9,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,198.86,-94.7,180.0,top
D10,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,169.83,-94.7,180.0,top
D11,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,143.39,-105.79,180.0,top
D12,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,131.51,-139.93,180.0,top
HOME1,SW_Push,SW_PUSH_6mm_H5mm,77.75,-39.75,90.0,top
L3,SW_Push,SW_PUSH_6mm_H5mm,90.75,-39.75,90.0,top
OLED1,SSD1306,128x64OLED,199.44,-130.84,0.0,top
R3,SW_Push,SW_PUSH_6mm_H5mm,100.75,-39.75,90.0,top
SELECT1,SW_Push,SW_PUSH_6mm_H5mm,67.75,-39.75,90.0,top
START1,SW_Push,SW_PUSH_6mm_H5mm,57.75,-39.75,90.0,top
